Sample ID	Group	Subject	Month	MonthCat	Date	DateCat	DaysElapsed	DaysElapsedCat	Timepoint	TimepointCat	ExperimentPhase	Weight	WeightCat	WeightRounded	WeightRoundedCat	CategoricalID
sample-61	D	D1	6	6	9	9	31	31	3	3	Antibiotics	19.4	19.4	19	19	D1.d31
sample-62	D	D1	6	6	13	13	35	35	4	4	Post-Antibiotics	21.0	21.0	21	21	D1.d35
sample-63	D	D1	6	6	19	19	41	41	5	5	Post-Antibiotics	21.0	21.0	21	21	D1.d41
sample-64	D	D2	5	5	10	10	1	1	1	1	Diet	17.5	17.5	18	18	D2.d1
sample-65	D	D2	5	5	29	29	20	20	2	2	Diet	18.4	18.4	18	18	D2.d20
sample-66	D	D2	6	6	9	9	31	31	3	3	Antibiotics	19.4	19.4	19	19	D2.d31
sample-67	D	D2	6	6	13	13	35	35	4	4	Post-Antibiotics	19.6	19.6	20	20	D2.d35
sample-68	D	D2	6	6	19	19	41	41	5	5	Post-Antibiotics	20.6	20.6	21	21	D2.d41
sample-69	D	D3	5	5	10	10	1	1	1	1	Diet	18.6	18.6	19	19	D3.d1
sample-70	D	D3	5	5	29	29	20	20	2	2	Diet	19.3	19.3	19	19	D3.d20
sample-71	D	D3	6	6	9	9	31	31	3	3	Antibiotics	19.3	19.3	19	19	D3.d31
sample-72	D	D3	6	6	13	13	35	35	4	4	Post-Antibiotics	19.7	19.7	20	20	D3.d35
sample-73	D	D3	6	6	19	19	41	41	5	5	Post-Antibiotics	20.7	20.7	21	21	D3.d41
sample-74	D	D4	6	6	9	9	31	31	3	3	Antibiotics	17.8	17.8	18	18	D4.d31
sample-75	D	D5	6	6	9	9	31	31	3	3	Antibiotics	19.9	19.9	20	20	D5.d31
sample-76	D	D6	6	6	9	9	31	31	3	3	Antibiotics	20.2	20.2	20	20	D6.d31
sample-77	X	X1	5	5	10	10	1	1	1	1	Diet	19.4	19.4	19	19	X1.d1
sample-78	X	X1	5	5	29	29	20	20	2	2	Diet	20.3	20.3	20	20	X1.d20
sample-79	X	X1	6	6	9	9	31	31	3	3	Antibiotics	21.6	21.6	22	22	X1.d31
sample-80	X	X1	6	6	13	13	35	35	4	4	Post-Antibiotics	22.3	22.3	22	22	X1.d35
sample-81	X	X1	6	6	19	19	41	41	5	5	Post-Antibiotics	21.4	21.4	21	21	X1.d41
sample-82	X	X2	5	5	10	10	1	1	1	1	Diet	18.6	18.6	19	19	X2.d1
sample-83	X	X2	5	5	29	29	20	20	2	2	Diet	20.5	20.5	21	21	X2.d20
sample-84	X	X2	6	6	9	9	31	31	3	3	Antibiotics	20.4	20.4	20	20	X2.d31
sample-85	X	X2	6	6	13	13	35	35	4	4	Post-Antibiotics	18.9	18.9	19	19	X2.d35
sample-86	X	X2	6	6	19	19	41	41	5	5	Post-Antibiotics	19.4	19.4	19	19	X2.d41
sample-87	Y	Y1	5	5	10	10	1	1	1	1	Diet	18.6	18.6	19	19	Y1.d1
sample-88	Y	Y1	5	5	29	29	20	20	2	2	Diet	19.8	19.8	20	20	Y1.d20
sample-89	Y	Y1	6	6	9	9	31	31	3	3	Antibiotics	20.0	20.0	20	20	Y1.d31
sample-90	Y	Y1	6	6	13	13	35	35	4	4	Post-Antibiotics	19.8	19.8	20	20	Y1.d35
sample-91	Y	Y1	6	6	19	19	41	41	5	5	Post-Antibiotics	19.9	19.9	20	20	Y1.d41
sample-92	Y	Y2	5	5	10	10	1	1	1	1	Diet	18.0	18.0	18	18	Y2.d1
sample-93	Y	Y2	5	5	29	29	20	20	2	2	Diet	17.4	17.4	17	17	Y2.d20
sample-94	Y	Y2	6	6	9	9	31	31	3	3	Antibiotics	18.4	18.4	18	18	Y2.d31
sample-95	Y	Y2	6	6	13	13	35	35	4	4	Post-Antibiotics	18.1	18.1	18	18	Y2.d35
sample-96	Y	Y2	6	6	19	19	41	41	5	5	Post-Antibiotics	19.1	19.1	19	19	Y2.d41
